codanum,grpvar,year,date,recloc,nclicks,totdur,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,,
349,83,1987,3/9/1987,GAL,5,0.44,0.117,0.111,0.101,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
350,83,1987,3/9/1987,GAL,6,0.79,0.135,0.127,0.118,0.119,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
351,83,1987,3/9/1987,GAL,6,1.19,0.144,0.133,0.121,0.126,0.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
352,83,1987,3/9/1987,GAL,6,0.79,0.135,0.135,0.121,0.125,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
354,83,1987,3/9/1987,GAL,6,0.34,0.041,0.035,0.077,0.086,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
355,83,1987,3/9/1987,GAL,5,0.42,0.114,0.101,0.094,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
356,83,1987,3/9/1987,GAL,5,0.44,0.112,0.108,0.103,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
357,83,1987,3/9/1987,GAL,5,0.81,0.2,0.202,0.208,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
358,83,1987,3/9/1987,GAL,8,0.58,0.102,0.054,0.065,0.081,0.101,0.077,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
359,83,1987,3/9/1987,GAL,5,0.47,0.126,0.114,0.113,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
360,83,1987,3/9/1987,GAL,8,0.58,0.055,0.045,0.048,0.064,0.076,0.089,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
361,83,1987,3/9/1987,GAL,5,0.46,0.126,0.112,0.113,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
362,83,1987,3/9/1987,GAL,7,1.28,0.189,0.199,0.202,0.195,0.211,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
363,83,1987,3/9/1987,GAL,5,0.43,0.114,0.109,0.098,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
364,83,1987,3/9/1987,GAL,5,0.42,0.101,0.101,0.102,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
365,83,1987,3/9/1987,GAL,5,0.44,0.124,0.112,0.099,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2378,103,1987,1/23/1987,GAL,8,2.78,0.297,0.419,0.412,0.419,0.409,0.416,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2379,103,1987,1/23/1987,GAL,5,1.02,0.244,0.259,0.254,0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2380,103,1987,1/23/1987,GAL,6,1.11,0.216,0.221,0.229,0.224,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2381,103,1987,1/23/1987,GAL,7,1.27,0.203,0.208,0.204,0.215,0.218,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2382,103,1987,1/23/1987,GAL,8,1.68,0.229,0.237,0.241,0.242,0.237,0.28,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2383,103,1987,1/23/1987,GAL,7,1.3,0.203,0.2,0.223,0.226,0.222,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2384,103,1987,1/23/1987,GAL,8,1.71,0.231,0.247,0.231,0.245,0.251,0.244,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2385,103,1987,1/23/1987,GAL,8,1.53,0.196,0.212,0.217,0.213,0.233,0.232,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2386,103,1987,1/23/1987,GAL,7,1.44,0.236,0.24,0.234,0.243,0.236,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2387,103,1987,1/23/1987,GAL,6,1.09,0.216,0.21,0.213,0.219,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
