sequence_id,pp_id,condition,length,tempo,variance,interval_i,stim_ioi,resp_iti
1_13,1,jittering,25,400,0.2,4,488.360884926218,329.32
1_13,1,jittering,25,400,0.2,5,302.385353604857,384.55
1_13,1,jittering,25,400,0.2,6,378.198490309134,497.05
1_13,1,jittering,25,400,0.2,7,448.052241252167,400.91
1_13,1,jittering,25,400,0.2,8,418.512600987578,378.41
1_13,1,jittering,25,400,0.2,9,344.017305794822,353.86
1_13,1,jittering,25,400,0.2,10,376.720261056702,413.18
1_13,1,jittering,25,400,0.2,11,460.874125954693,274.09
1_13,1,jittering,25,400,0.2,12,522.618425264947,460.23
1_13,1,jittering,25,400,0.2,13,380.100080990865,427.5
1_13,1,jittering,25,400,0.2,14,303.770937531834,546.14
1_13,1,jittering,25,400,0.2,15,407.065176454294,419.32
1_13,1,jittering,25,400,0.2,16,411.566896563299,302.73
1_13,1,jittering,25,400,0.2,17,384.316623568548,370.23
1_13,1,jittering,25,400,0.2,18,405.030593970495,349.77
1_13,1,jittering,25,400,0.2,19,392.89230587467,413.18
1_13,1,jittering,25,400,0.2,20,505.308465460179,374.32
1_13,1,jittering,25,400,0.2,21,371.114400347477,417.27
1_13,1,jittering,25,400,0.2,22,375.660287701319,556.36
1_13,1,jittering,25,400,0.2,23,213.423855637548,312.95
1_20,1,sampling,25,400,0.2,4,349.705455952558,349.77
1_20,1,sampling,25,400,0.2,5,474.98451272863,308.86
1_20,1,sampling,25,400,0.2,6,506.793829631764,468.41
1_20,1,sampling,25,400,0.2,7,424.772174563698,433.64
1_20,1,sampling,25,400,0.2,8,409.363864226162,462.27
1_20,1,sampling,25,400,0.2,9,623.641313768294,456.14
1_20,1,sampling,25,400,0.2,10,376.251660470328,495
1_20,1,sampling,25,400,0.2,11,535.305503148762,605.45
1_20,1,sampling,25,400,0.2,12,327.550330834413,349.77
1_20,1,sampling,25,400,0.2,13,359.406380049932,394.77
1_20,1,sampling,25,400,0.2,14,407.139069478393,597.27
1_20,1,sampling,25,400,0.2,15,457.86232965927,274.09
1_20,1,sampling,25,400,0.2,16,363.835173084063,378.41
1_20,1,sampling,25,400,0.2,17,423.019824891062,478.64
