Keyword,Class,"Function, method, attribute",Example
Accelerando,:py:class:`~thebeat.core.Sequence`,:py:meth:`~thebeat.core.Sequence.change_tempo_linearly`,
Add Gaussian noise,:py:class:`~thebeat.core.Sequence`,:py:meth:`~thebeat.core.Sequence.add_noise_gaussian`,
Change amplitude,:py:class:`~thebeat.core.SoundStimulus`,:py:meth:`~thebeat.core.SoundStimulus.change_amplitude`,:ref:`Isochronous sequences with target speech stimulus`
Change tempo,:py:class:`~thebeat.core.Sequence`,:py:meth:`~thebeat.core.Sequence.change_tempo`,
Concatenate,:py:class:`~thebeat.core.Sequence`,'+' operator or :py:func:`~thebeat.utils.concatenate_sequences`,":ref:`Merging, concatenating, and repeating objects`"
Concatenate,:py:class:`~thebeat.core.SoundSequence`,'+' operator or :py:func:`~thebeat.utils.concatenate_soundsequences`,":ref:`Merging, concatenating, and repeating objects`"
Concatenate,:py:class:`~thebeat.core.SoundStimulus`,'+' operator or :py:func:`~thebeat.utils.concatenate_soundstimuli`,":ref:`Merging, concatenating, and repeating objects`"
Concatenate,:py:class:`~thebeat.music.Rhythm`,'+' operator,":ref:`Merging, concatenating, and repeating objects`"
Concatenate,:py:class:`~thebeat.music.Melody`,'+' operator,":ref:`Merging, concatenating, and repeating objects`"
Create from 1's and 0's,:py:class:`~thebeat.core.Sequence`,:py:meth:`~thebeat.core.Sequence.from_binary_string`,
Create from IOIs,:py:class:`~thebeat.core.Sequence`,:py:meth:`~thebeat.core.Sequence.__init__`,:ref:`Getting started`
Create from Parselmouth object,:py:class:`~thebeat.core.SoundStimulus`,:py:meth:`~thebeat.core.SoundStimulus.from_parselmouth`,
Create from fractions,:py:class:`~thebeat.music.Rhythm`,:py:meth:`~thebeat.music.Rhythm.from_fractions`,
Create from integer ratios,:py:class:`~thebeat.core.Sequence`,:py:meth:`~thebeat.core.Sequence.from_integer_ratios`,":ref:`Merging, concatenating, and repeating objects`"
Create from integer ratios,:py:class:`~thebeat.music.Rhythm`,:py:meth:`~thebeat.music.Rhythm.from_integer_ratios`,:ref:`Uneven rhythms`
Create from note,:py:class:`~thebeat.core.SoundStimulus`,:py:meth:`~thebeat.core.SoundStimulus.from_note`,
